"","Adipocytes","Astrocytes","B_cells.Class.switched_memory","B_cells.Memory","Chondrocytes","CLP","CMP","DC","Endothelial_cells","Eosinophils","Epithelial_cells","Erythrocytes","Fibroblasts","GMP","HSC","Keratinocytes","Macrophages","Macrophages.M1","Macrophages.M2","Megakaryocytes","Melanocytes","MEP","Mesangial_cells","Monocytes","MPP","mv_Endothelial_cells","Myocytes","naive_B_cells","Neurons","Neutrophils","NK_cells","Pericytes","Plasma_cells","Preadipocytes","Skeletal_muscle","Smooth_muscle_cells","T_cells.CD4.","T_cells.CD4._central_memory","T_cells.CD4._effector_memory","T_cells.CD8.","T_cells.CD8._Central_memory","T_cells.CD8._effector_memory","T_cells.Tregs"
"194","H19","SFRP4","RGS1","LSP1","MYO1E","CD9","LPCAT2","ITGB2","RPL36A-HNRNPH2","FRY","ITGB4","CKAP2L","ADAMTS2","DANCR","IFITM2","DUSP6","SCARNA13","SEP15","CCRL2","S100A4","SLC43A3","GSTM3","SULT1C4","CD163","PPAPDC1B","LTBP2","CST3","GRASP","SEPW1","SLC15A3","SCARNA12","PLXNB2","CCDC69","HIST1H4A","MYOG","WLS","TSHZ2","CD40LG","CCR2","RASGRP1","LBH","CD244","RHOH"
"195","MS4A4A","GJA1","LRMP","ACP5","SMOC1","CTSS","ITGB2","MCOLN2","BCAT1","ARHGEF40","LGALS3BP","PSMB5","CERCAM","IFITM1","JAK3","HIST1H4J","HIST1H4K","SCARNA10","CTSD","LINC00152","MMP2","SNCA","HOXA9","PPBP","CDCA7L","FLT4","SCARNA6","FCRL5","CRMP1","PTPN6","CORO1A","ACTN1","UNC13D","PPL","SNTA1","HIST1H2BI","FAM102A","TRIB2","ICAM3","RNU12","CD74","F2R","TRIB2"
"196","MS4A7","GFPT2","SCIMP","POU2AF1","LBH","CASP6","SYK","ITPRIPL2","SCARNA6","RAB37","P4HA2","NUF2","LGALS1","CLEC2B","CTSS","PLEC","SNORA14B","TFEC","NPL","RAB13","SGCD","S100A4","PMEPA1","ZEB2","SSBP2","CARD16","TNNT1","STAP1","RAB3A","CD14","ITGAX","RCN3","MANEA","CST3","SNORD17","TUSC3","RIC3","FAIM3","D4S234E","ARHGAP9","MYO1G","CCR5","CCDC141"
"197","HSPB7","SCARNA10","CXXC5","HIP1R","SCARNA12","LRMP","HIST1H2BL","GSN","FGD5","MPO","TUSC3","ICAM2","HGF","ATF7IP2","TSC22D3","NT5E","CYFIP1","KCNN4","HLA-DMB","IQGAP2","HMG20B","HMBS","CD74","S100A4","BZW2","HIST1H4F","NPTX2","PARP15","EDIL3","TMEM154","GMFG","HIST1H4B","H1FX","ADAM9","TACC2","CD248","DACT1","ATP8B2","ANXA1","CLEC2D","SLFN5","RGS1","IKZF1"
"198","CCDC69","CRABP2","CCDC50","MZB1","SLC7A8","SNRPD1","ANPEP","ANKRD33B","FAM198B","RARA","IGSF3","AK1","CRABP2","ATP6V1G2-DDX39B","PDE4B","PKP1","DOCK2","RPPH1","DHRS11","ARHGAP15","HIST1H4D","MGST1","HIST1H4B","DMXL2","ACAP1","MXRA7","CRLF1","ARHGAP15","TRIM2","RPPH1","GIMAP6","SDC4","CD9","ABI3BP","SPARC","DPYSL3","EVL","PIK3IP1","TIAM1","SOX4","LAPTM5","ARHGAP15","LGALS3"
"199","FASN","MARCKS","LSP1","SWAP70","TBX15","IL18","SCARNA12","OGFRL1","PALMD","TCIRG1","NCF2","VAMP8","MEG3","DOCK2","MIR155HG","ACTN1","LY96","GSN","EGFL7","SULT1A1","HIST1H4F","EIF1AY","RPS16","HCK","LAPTM4A","HHIP","PLOD1","TCF4","ARAP2","SNORA2A","LAT2","CLIC4","QPCT","S100A4","FEM1A","PCDH18","SYNE2","GZMM","ADAM19","HIST1H4F","CX3CR1","KDM5D","LINC00152"
"200","FCGR2A","CLIC4","LAT2","CORO1A","PTPRS","SORD","HIST2H2AB","FGL2","BCAR1","KDM6B","FAM84B","GAD1","VGLL3","CD244","BST2","PNLIPRP3","PARVG","NPL","SCARNA13","MGLL","LAMB2","STXBP6","BMP1","SOCS3","EIF1B","SH2D3C","MYF5","PTPRK","MLLT11","ADM","METRNL","PITX2","RHBDF2","HIST2H4A","UNC45B","CDKN1A","TTTY15","LSP1","SIT1","PDE3B","IFITM1","SELPLG","PTPLA"
"201","GABRE","CDH6","CDK14","CPNE5","LSP1","BZW2","MYO1G","CD53","FABP5","FAM101B","ANXA2","SKA1","GAS6","FAH","ACAP1","GPC1","SLC16A3","SCARNA7","GPC4","DDX3Y","FCRLA","FAH","NBL1","OSM","PDE1A","LGALS1","DST","IL4R","GABARAPL2","SLA","CMKLR1","HSD17B2","RLTPR","ITGA10","DHCR24","ISLR","SCARNA15","MGAT4A","SYTL1","SATB1","JAKMIP1","SCARNA14","HIST1H4J"
"202","NDRG2","GALNT5","CD27","LAT2","KDELR3","HLA-DQB1","VAMP8","HSH2D","NES","EHD1","HIST1H2BE","EPCAM","ACTN1","TK1","LRMP","FKBP9","IDH1","CLEC4E","MFSD12","NPL","FERMT2","LDLR","IER3","MAP3K8","DOCK2","TK1","ALPL","RCSD1","CPNE8","HAL","CXXC5","TNC","IL2RG","LAPTM4B","MFGE8","CLIC4","KDM5D","IL6R","BIRC3","LSP1","CCR5","UTY","ARHGAP15"
"203","SEMA3G","PLOD1","NCF1","ACAP1","PDE5A","ANXA1","PTPN7","TNFAIP3","SHE","SYNE1","AMIGO2","KCNH2","FAT1","CPVL","RPL3","SEMA3C","ADAM9","CCL5","FAM129B","CORO1C","TUBB2B","CPVL","PHGDH","BST1","MPP1","NRP1","TMEM98","HDAC9","PEG10","SECTM1","DDX3Y","IL6ST","KLHL6","ZBTB16","SCARNA13","TMEM98","AIF1","SNORA71B","KLF2","OCIAD2","ARHGAP30","CD28","ARHGDIB"
"204","ABCA6","DIO2","LCP1","GMFG","TXNDC5","NFE2","RNF24","DOCK10","CXORF36","LPCAT2","EPHB4","RAD51AP1","CTSK","PRSS21","SAMSN1","GYLTL1B","FERMT3","IDO1","SIRPA","CD300A","TIMP2","CPXM1","TSPAN4","EVI2B","FHL2","ERG","TERC","CYTIP","KCNIP1","SRGN","DTHD1","IGFBP6","NFATC4","EHD2","SCARNA12","PAPSS2","MAN1C1","ANXA1","CD27","SCARNA8","CD5","PLXND1","ARHGAP4"
"205","BTNL9","TIMP2","SNORA11D","LCP1","FOXC1","DUSP10","DOK3","SCARNA13","HIST1H2AI","C16ORF54","PLEC","KIAA0020","PDLIM7","CYTIP","LIMCH1","NDRG1","MRAS","CST3","TTC39B","RAC2","CIT","CD244","YAP1","LRRC25","RAC2","RAI14","VEGFA","PRKCB","MT1X","EVI2B","ABI3","HIST1H3D","OSBPL3","HIST2H4B","CYSTM1","RPS10-NUDT3","TPM2","GPR15","GPR15","CRTAM","HIST1H4J","CD160","PRKCQ"
"206","DDR2","FZD7","GMFG","PRKCB","PTGFR","ARHGAP9","HIST1H2BE","LRRC61","CLIC4","ICAM3","LCN2","ARL4A","LRRC17","ITGB2","SRGN","PRSS8","TNS3","HNMT","SPN","CD74","LAMC1","CD79B","HIST1H2BE","CLEC4A","CIRH1A","HIST1H2AE","SLC16A3","SEP15","PLS3","PTAFR","TIGIT","SERPINF1","ETV7","PPFIBP1","PPM1L","LAMA2","SCARNA2","SNORA30","ATP8B2","ARHGAP4","SPN","JAKMIP1","TAGAP"
"207","CLMP","CRLF1","PAX5","TFEC","NPR3","ATF7IP2","RNU4ATAC","NCF2","ECE1","OXER1","EPCAM","CDH1","PLOD1","HSPA5","VAMP5","FAT2","RAB31","MGLL","RPS6KA1","CXCL1","HERC5","PTPRCAP","HIST1H3I","EVI2A","BTK","HIST1H4H","AXL","CD1C","AKAP6","BIN2","ITK","LIF","ALDH2","IL6ST","PLIN4","FADS2","TMIGD2","ISG20","SPN","HCST","IKZF3","P2RY8","IL6R"
"208","ALDH2","SYTL2","SNORA11E","IKZF3","ELL2","TBXAS1","HIST1H4B","IL1R1","FLNC","ALOX5AP","PMEPA1","ASNS","KDELR3","ZEB2","DANCR","ST14","SNORA23","PTPRC","SPON2","TFPI","ATP10A","GCAT","SNORA53","SNORA53","NFIA","HIST1H3I","FERMT2","PTPN6","MYH10","TRIB1","LSP1","DHCR24","JUN","CXCL5","NEXN","CHPF","HAPLN3","PRKCQ","CTSW","ACTN1","S100A4","ZEB2","CCR6"
"209","CCDC80","DES","TAGAP","LY9","PCSK1","LDHB","HIST1H2BB","SCARNA12","FAM129B","SCARNA7","SCARNA6","GMFG","FADS2","NCKAP1L","PRSS57","FOSL1","PLIN2","GAL","MAFF","HIAT1","HIST1H2AL","RARRES3","HNF1B","MEFV","APOBEC3C","PRKCH","RHOBTB3","CD24","NDFIP2","LILRA2","CXCR4","MYLK","CD37","SERPINF1","SCARNA5","LAPTM4B","EDAR","MB21D2","FOS","ID3","RASGRP2","HCLS1","JUNB"
"210","F3","CTGF","FCRL5","FCRL3","ITGB5","CDK2AP1","CD38","LHFPL2","YES1","HLA-DQB1","CRIP2","TUBB6","TNXB","BST2","SYPL1","LSR","CECR1","ALCAM","LRP1","LRRC16A","MYO1E","GATA2","PLEC","HLA-F","BEX5","CLIC4","LMNA","BCL7A","COX7B","MCTP2","HMHA1","NRG1","CORO1A","PPARG","CLIC5","MEIS1","KRT72","MAF","PDZD4","ARL4C","HIST1H3B","SKAP1","CCR7"
"211","TUBB6","SYTL5","RASGRP3","RCSD1","PLEC","C1ORF162","ERG","PTPRJ","ARHGDIB","GNB2L1","DSC2","BCAT1","ADAM9","MEF2C","TMEM163","CDKN1A","MPEG1","PTPN6","APOC4-APOC2","CCL5","CD9","ITFG3","EHD2","PTPN6","SERPINB6","CST3","ANXA2","HLA-DQA2","NPPC","AFF2","SKAP1","TFPI","HERPUD1","PLEC","MYH14","TMEM200A","TIAM1","HAPLN3","HIST1H3D","CYBB","RARRES3","S100A4","GBP2"
"212","HCLS1","LAMC2","ID3","CD72","ARID5B","SPINT2","HIST1H4E","SCARNA6","TUBB3","LTB","FLNB","TROAP","FLNA","FLT3","CDCA7L","ESRP1","MGLL","LAIR1","DENND2D","EIF1","DPP4","C19ORF48","WWTR1","SNORA65","TXN2","FAM69B","LOXL4","PLD4","NDUFA4","IFITM1","PLEKHF1","HIST1H2BL","SLC1A5","FAP","MYL3","ABCA1","SELPLG","TNFSF8","ISG20","CLEC2B","IKZF1","LSP1","MAF"
"213","PFKFB3","TIMP1","SEL1L3","ARHGAP15","IL1R1","ELMO1","NRD1","RPPH1","GIMAP8","FYB","TNC","TEX30","PLXNB2","MS4A6A","ID2","SH2D3A","SELT","NRP2","PILRA","FAM212A","HIST4H4","MYC","HKDC1","CXCL16","PKIG","ANXA2","CALU","P2RY14","CAP2","SULF2","HIST1H4J","SLC16A3","ARHGAP9","KCTD12","NOL3","LXN","LMO7","CCR6","PRKCQ","ZBTB10","MYBL1","IKZF1","FYB"
"214","ANXA1","SEMA3E","C1ORF186","ARHGAP4","GLDN","RAB13","HIST1H2BJ","TNFRSF4","SMTN","ADAM19","EPAS1","H2AFZ","RBFOX2","CRYGD","NME1-NME2","DCBLD2","SLAMF7","NQO1","MGLL","SRPR","HIST1H2AI","VSTM1","ELF3","CD4","IFITM2","SNCG","AK5","ISG20","GNAI1","CR1","RARRES3","PHLDA1","ST6GALNAC4","FADS1","SLC7A2","RHOBTB3","RORA","ARHGAP9","SKAP1","ARHGDIB","PLEK","SPN","GIMAP6"
"215","LGALS3","PTPRN","HIP1R","TAGAP","CACNB4","TNFAIP2","DENND3","TREM2","TEK","GATA2","MPZL2","PRC1","S100A4","CD99","DDX3Y","MGST1","LACC1","SGK1","C3","SSX2IP","GREB1","ZEB2","DOC2B","PYGL","SYK","GRAP","LOXL1","HMHA1","DEFB1","NBEAL2","C1ORF21","EXT1","POU2F2","RFX8","EHBP1L1","GNG12","AXIN2","ADAM19","MYBL1","RNASE3","GIMAP2","CD74","PYHIN1"
"216","IGF1","CD151","SYK","IGLL5","LOXL1","TUBB6","SERPINB10","AGPAT6","HIST1H2BI","MEGF6","F2RL1","TUBB1","COL16A1","EIF4EBP1","HIAT1","FASN","MMP14","SLC39A8","RAB11FIP4","VWA5A","LYST","ARHGAP9","RHOB","MXD1","TMEM173","ACSL5","NDUFA4L2","ATP2A3","SEPT4","ARHGAP15","NCALD","FADS1","VAMP1","HSPG2","SLC16A10","HIST1H4H","ARHGDIB","FHIT","CRIP2","UTY","AHNAK","PLCG1","IL2RG"
"217","SH3D19","ITGA3","IFI30","ISG20","LOXL2","CD99","CD244","RAB30","PKIG","NHSL2","HES4","NCEH1","HIST1H4F","JUP","ANGPT1","HIST1H2BE","PIK3R5","SCARNA5","UCP3","SERPINE2","SCARNA6","ACY1","SPNS2","HLA-DMA","HMGA2","IGFBP2","GPR176","EBF1","DST","JUNB","MMP23B","LDLR","ICAM3","DCLK1","PKD1","FLNA","IGJ","AHNAK","AHNAK","PYGL","SNORA3","SLFN5","TRIB1"
"218","MSR1","COL14A1","TRAF3IP3","ST14","SOX5","HIAT1","EMB","ENPP2","MTUS1","ARRB2","TPD52L1","BANF1","ANXA1","PDE4B","CXCR4","SLC2A1","RPPH1","TYMP","PDE3B","MTHFD2","KHDRBS3","MYL6B","OCIAD2","TIMP1","LMO2","BST2","LOXL3","PCDH9","HSPA4L","BST1","MCTP2","CTGF","CCDC88C","DUSP6","IMPA2","TPM1","SCML4","SKAP1","ARHGAP30","HIST1H2BG","FXYD2","SLC4A10","IL2RB"
"219","APCDD1","COL22A1","SNORA22","GAPT","ZNF521","NME1-NME2","HIST1H2BF","CAPG","LMNA","SNORA23","LLGL2","ITLN1","SLC1A5","RAC2","RPL7","SLC38A5","S100A4","RASGEF1B","MYO1E","NCKAP1L","COL5A2","C19ORF38","FLNA","PTPRE","NME1-NME2","APP","CD151","TRIO","SEC62","ARHGAP25","ADAM8","DUSP6","MAPK8IP3","PXDN","MYH6","PLOD1","CCDC88C","SEP15","GIMAP2","ROBO1","SEP15","ARHGAP30","PLCG1"
"220","CD14","HIST1H2BO","CTSH","BACE2","LNX1","PTPN7","DOCK5","CCL3","EXOC6","SIRPA","SYTL1","CLIC2","IFITM3","RPL3","HOXA9","RAB25","FCGRT","MRAS","FLVCR2","SERPINB1","SEMA6A","SIGLEC10","MEST","RBP7","IRAK3","HIST1H2BJ","ANXA1","CORO1A","ARHGAP5","DOK3","SORL1","PCOLCE","COBLL1","PLS3","PLIN2","CRIM1","TBC1D4","FAM13A","HIST1H4J","DEFA3","HCLS1","TAGAP","HLA-DRB1"
"221","SDC2","HIST2H3D","ACAP1","PDE4B","CD9","NRM","HIST1H2AL","IFNGR2","SH2D3C","RASGRP4","ADAM9","SRPR","DST","WDR49","IQGAP2","DST","VAMP8","TUBB6","ACAT2","SH3BP5","GAS2L3","MGST2","DSP","JUNB","CCDC23","CD151","TIMP3","FCRL3","GNG2","DEFA1","NCR3","PLK2","CHST2","SCARNA6","PDLIM1","IL6ST","ACSL6","SYTL1","PTPN13","PDE4D","SIT1","GRAP2","HIST1H2AK"
"222","LAPTM5","LMNA","SWAP70","TRAF3IP3","FAM129B","RAC2","KIAA0101","SEMA7A","PTK2","CYTH4","PRSS23","UROD","PTGIS","ST3GAL6","TOX","HIST1H3I","MFSD12","NCKAP1L","LY96","UBE2T","RAB27A","ALOX5AP","HIST1H2AL","PADI4","RAB13","PDGFB","TTN","TERC","SYBU","STX3","TMIGD2","CLDN1","TMC6","CLIC4","CASQ2","ADAMTSL1","JUNB","OSM","MAF","IL6ST","GPR56","GPR171","CD7"
"223","CALB2","LGALS1","ATP2A3","FCER2","SLC2A12","LUC7L3","RRM2","SLA","DUSP6","CORO7","SH2D3A","CLU","TERC","FXYD5","RBPMS","GALNT3","ALOX5AP","MYO1E","VAMP8","FLI1","GNAL","KPNA2","SCARNA6","LRP1","TSC22D3","IGFBP4","ELN","ARHGAP4","LPCAT4","ZFP36","FCRL3","OLFML3","CLEC2D","HSD3B7","GLRX","PCDH7","FAM134B","CLEC2D","SOCS3","ERBB2IP","MT1E","CRIP1","ADTRP"
"224","CD302","ENC1","MARCKS","JUNB","FST","MYL6B","HIST1H4D","SPRED2","PDE2A","PTPRE","APP","FTL","TIMP1","ITM2C","TSPAN2","PROCR","RPS6KA1","PLXND1","FTL","CTDSPL","FADS2","HSPB1","GPRC5C","HBB","NCKAP1L","TMEM132A","SERPINF1","GMFG","GCHFR","PGLYRP1","KLRG1","FBLIM1","HSF4","PROCR","CHRNA1","TIMP1","USP9Y","HIST1H4F","HIST1H2BG","IKZF2","ANXA1","USP9Y","CD74"
"225","SCARNA12","CSRP1","STAP1","PNOC","CPXM2","TSTD1","ACTN1","LRP12","GRAP","ANKRD44","DAPP1","PPT2","IFITM1","PPAPDC1B","CDK2AP1","LAPTM4B","CD83","DMXL2","KIAA0930","ERBB2IP","QPRT","PAFAH1B3","HSPB1","LGALS3","S100Z","ITGA3","PAMR1","CLIC4","GDPD1","SLC16A3","ARHGAP30","IL1A","WIPI1","NOVA1","ZBTB47","GALNT5","NR3C2","RASGRP1","DUSP5","TMIGD2","ARHGAP4","LBH","GPR15"
"226","FCGR2C","FLNA","CD86","SEP15","EBF1","WDR54","HIST1H2AG","CD1C","DST","UTY","RPL13AP5","PKLR","BNIP3","GLUL","BZW2","HIST1H4D","LRP1","SIRPA","CYFIP1","MAPRE2","MGAT5B","GPSM3","CDC42EP1","PHACTR1","PTK2B","PLXNA2","TGFB2","SWAP70","SYNJ2BP-COX16","CPPED1","PDGFD","RASGRF2","CCDC88A","METTL7A","CSRP3","SCARNA6","FAM13A","SLFN12L","RHOH","SRGN","AOAH","PDZD4","EVI2A"
"227","LCP1","WLS","S1PR4","ADAM19","PLXDC2","FXYD5","SNORA13","RASSF2","ANXA2","PIK3R5","HIST1H2AI","DPCD","ACVRL1","HENMT1","PRKACB","HOMER3","LGALS9","CD74","AGPAT6","PKHD1L1","PSPH","RPLP1","KRT7","TYMP","CLU","LYL1","IL32","IKZF1","EPB41L3","MX2","TRAF3IP3","CNIH3","JUNB","TXNDC5","CNTFR","ABCA8","RASSF5","GIMAP2","TSC22D3","ATP8B4","FLNA","AOAH","ARHGAP30"
"228","PNPLA2","MMP23B","SLC15A3","RHOH","PFN2","ACOT13","ITM2C","TIAM1","LAPTM4B","CD24","PLOD2","ORC6","AKR1C1","SSBP2","HPRT1","KLK8","SCARNA5","SLC28A3","EPB41L1","CALD1","EMP1","LAIR1","FASN","LAT2","DAPK1","RHOC","LIF","SLC9A7","OCIAD2","CNTNAP3","NMUR1","CTSK","MME","TSPAN4","STON2","CD151","GRAP2","GPR171","PLCG1","JUN","F2R","AHNAK","CCR2"
"229","TSKU","FAT1","ST14","HDAC9","ECM2","GGH","DOCK2","ARHGAP10","TLR4","DAPK1","PRSS8","SELPLG","LDLR","SRGN","ID3","TSTD1","CD300LB","CLU","SCARNA6","RAB33A","PTTG1","ACN9","CNN1","CTSZ","CTSS","BCL6B","DDAH1","SNX29P2","PRRT1","TAGAP","RHOC","PKIB","CLIC4","NRN1","BCL6","CST3","KLF2","ARHGDIB","ST6GALNAC1","TRAT1","CD97","IL18RAP","CD70"
"230","ITLN1","LTBP3","TRIO","CCDC50","NEBL","PARVG","PLD1","CKB","DBN1","APOBEC3A","ITGAV","LINC00152","GPNMB","LGALS1","FHL1","CDCP1","SNORA47","SLC2A6","PARVG","MYL4","CLCN7","LINC00152","HIST1H2BI","HMOX1","ZEB2","ANXA1","FHL1","SYK","TUBB2A","IFITM3","LINC00299","MAP1B","B9D1","FERMT2","HHATL","APP","SAMD3","PRDM1","HIST1H4F","LCP2","CRTAM","CD97","PIK3IP1"
"231","MFAP4","ANXA2","HDAC9","PDLIM1","COL14A1","PRG2","ANLN","SESN3","MGAT4A","GAPT","PCDH1","GRAP2","MEST","MYL6B","EIF4EBP3","S100A11","CEBPB","TGM2","S100A11","NEK6","COL11A1","SERPINB6","SLC7A5","NR4A1","C1ORF228","PTPRB","CASQ2","TSPAN33","SLC6A1","LIMK2","LAIR2","HEG1","SNRNP70","HIST1H2BJ","RPS4Y1","CTGF","TAGAP","ITGA6","NKG7","FAM134B","HLA-DPB1","IFITM1","HIST1H3D"
"232","SPON1","ADAM9","IKZF1","MARCKS","AHNAK","ZEB2","BIN2","SOCS2","GJA4","CSF1","CLIC4","NCAPG","ANXA2","TSTD1","EVI2A","CALML3","SLA","LHFPL2","CTTN","HLA-DMA","SNORA53","PRDX2","ANXA3","GAS7","CDK2AP1","FLNB","CKAP4","LCP1","SDR16C5","SIGLEC5","RUNX3","THY1","NEAT1","BDKRB2","SPPL2A","TSPAN4","PCNX","MYO1G","ARHGDIB","HCLS1","MYO1F","LAPTM5","HIST1H3F"
"233","CYR61","ACTN1","HIST1H4F","MAP4K1","TUBB6","CD38","IGFBP7","QPCT","HIST1H4J","SNORA47","NTN4","SPN","MARCKS","CSF1R","INPP4B","CKAP4","CXCL16","NRP1","SCARNA12","NET1","THBS2","RPL18A","LHX1","FOS","MYH10","HCLS1","NCAM1","MTSS1","CHCHD10","IL1RN","ATP8B4","VAT1L","PTPN6","LGALS3","AHNAK","SNURF","PTK2","PI16","VTRNA2-1","TOB1","SORL1","GIMAP6","METTL7A"
"234","DGAT2","LTBP1","MAP4K1","CTSZ","COL15A1","RPL7","LTBR","TUBA1C","RNASE1","MYADM","S100A9","C6ORF211","QSOX1","CYFIP2","IL1B","SH2D5","FAM129B","DHCR24","PLIN2","PTPN7","SNAI2","FXYD5","LTBP3","DOCK2","GBP2","SRGN","SFTA1P","ETS1","CYFIP2","LAT2","RGS3","BDKRB2","PNPLA2","COL4A2","ANK3","GPC6","SCML1","AP3M2","EVI2A","TSC22D3","HIST1H3D","FLNA","ITGAL"
"235","SLC1A3","HSPG2","EML6","IFI30","CA12","CYTIP","HIST2H2BF","FAM129A","ITGA5","RGS14","F11R","PIM1","HIST1H4J","ZNF521","RPL21","PTGFRN","CD86","CDKN1A","PTPRO","PYGL","RSAD2","GSTM1","IFITM3","TNFAIP3","WDR54","ACTN1","MYOG","PNOC","APOO","IGF2R","IRF8","FLNB","GMPPB","ANXA1","POPDC3","PCOLCE","OXNAD1","P2RY10","LINC00152","BACH2","SYTL2","RARRES3","LMNA"
"236","DLC1","RARRES1","CXCR5","HCLS1","ANXA1","C19ORF48","HIST1H3I","WNT5B","NT5E","IFI30","SLC16A3","SVIP","RPL13AP5","WDR54","HMGB3","JUNB","TCIRG1","DAB2","TUBB6","AMHR2","HIST1H4B","JUP","MGAT4B","SNORA74A","TSTD1","HIST1H2AM","AQP1","LYN","FXYD7","SOD2","HIST1H4F","INHBA","HMHA1","EGFR","A2M","THY1","SLC38A1","STAT4","PRDM1","ITGA6","UTY","HLA-DPB1","TTN"
"237","TNXB","HIST2H4A","ARHGAP4","LBH","RAB23","TCF4","STMN1","DPYSL2","SNORA53","KLF2","ITGA6","RQCD1","TNFRSF11B","CCDC101","SEPT6","LTBR","THBS1","SCARNA13","EVL","PTPRC","CA14","RQCD1","PVR","DUSP1","TKT","FAM124B","TNFSF4","SCN3A","STARD4","MBOAT7","PLEKHG3","HSPG2","ARHGAP4","ANXA2","AK1","ANXA1","SNORA28","ITGAL","GLTSCR2","SCARNA2","GPR183","HIST1H4F","FLNA"
"238","GPC3","DUSP2","E2F5","SIT1","AEBP1","GSTM2","KLHDC8B","TNFAIP6","HHEX","HCLS1","RBM47","TRIM59","PLAC9","GPSM3","CCDC23","PPP1R13L","TNFRSF1B","CYFIP1","HSD3B7","CKS1B","TUBB2A","HHLA3","FOXD1","SCARNA12","GIMAP2","SPNS2","FKBP9","JUNB","BAIAP2","EMR2","HIST1H3D","FOXF1","HSPA1A","SCARA3","CEBPB","DCBLD2","LSP1","NPDC1","AMICA1","PIK3IP1","PYHIN1","HIST1H4J","CAMK4"
"239","APOLD1","TNFSF4","JUNB","HVCN1","KIAA1644","CXCR4","SCARNA23","ADAM9","SERPINB9","BACE2","CELSR1","PRR11","CREB3L1","JAK3","PMAIP1","CXCL3","ANXA2","S100A11","ALCAM","CKAP2L","IFITM3","WDR54","PLEKHG3","CD37","AP1G2","EHD4","SYTL2","CDCA7L","SPAG5","LILRA6","RHOBTB3","C3","ICAM2","AHNAK","TMEM38A","ANXA2","PLCL1","ICAM3","CD7","SKAP1","STAT4","CMC1","SEP15"
"240","AHNAK","XYLT1","CLIC4","ITM2C","KLHL13","PHACTR1","ZEB2","SULF2","FRMD4B","PNPLA6","PKP3","PRIM1","DLC1","CIRH1A","RAC2","TSPAN4","SIRPA","CCL4L1","SNORA21","FADS1","ITPKB","LXN","HOXB9","SCARNA15","HNRNPA1","FGD5","HIST1H4L","BCL11A","PRDX2","SCARNA12","SLFN12L","LGALS3BP","PLTP","TIMP1","SPEG","MICAL2","KRT73","GIMAP6","LGALS3","SYTL2","TERC","KLRF1","RCSD1"
"241","C11ORF96","TPD52L1","PDLIM1","PARP15","AP1S3","RPL3","MCTP1","FSTL1","PDE4B","SEPT5","RHOC","PTPN6","WISP2","ATP8B4","SDPR","GPR87","LAMP1","FAM213A","ANXA1","P2RX1","CLIC4","TMEM173","ACTA2","FYB","SRGN","HIST1H2BI","NEB","EIF2AK3","HBA1","ATG16L2","CYTIP","TMEM119","CLEC17A","OSMR","MACROD1","PAM","FAM153B","LPAR6","STAT4","TYROBP","DOK2","PARP8","P2RY10"
"242","GPNMB","C1S","C10ORF128","TSPAN33","PCOLCE","KPNA2","EVI2A","C2","RASIP1","RPS6KA2","TSTD1","OAT","GPR176","FHL1","CYTIP","IRX4","SNX10","ANXA2","LINC00152","DLGAP5","ST3GAL6","FAM117A","NREP","SLC8A1","RPS6","LAPTM5","HSPG2","PDLIM1","INPP5A","PREX1","LBH","EPHB2","TRABD","NAV3","GADD45G","ZEB1","TRIB2","SCGB3A1","TNFSF8","HIST1H2BI","PLCG1","ANXA1","AHNAK"
"243","SPRY1","CTSZ","MYO1G","LYN","SGCD","MGST2","FLT3","SEP15","ANXA1","SERPINA1","SLC1A5","HPGDS","OSR1","HNRNPA1","FHL2","MPZL2","KIAA0930","FERMT3","CLIP4","TBPL1","TTYH3","RPS19","CELSR1","ITGAM","RCSD1","LGALS9","LAPTM4B","RBM38","ARHGAP5-AS1","NEDD9","GBP5","GATA4","TP53INP1","FGF7","GSN","ALDH1A1","GIMAP1-GIMAP5","VIPR1","RORC","EVI2A","SNORA64","FGR","ICAM3"
"244","LGALS3BP","HIST1H2BE","LUZP6","HIST1H4F","FGFR2","MPP1","KIT","AHNAK","PDGFB","DGKD","STAP2","CPOX","LTBR","GNB4","PARVG","TNNT1","PLBD1","GMFG","ANXA2","SPTSSA","PLK2","WIBG","HS3ST3A1","CD300LF","HLA-DMB","SHE","PALMD","CLEC2D","PTK2","CA4","SYK","DPYSL3","CTSZ","CCNB1","CFL2","MXRA7","DOCK2","MYBL1","SNORA36B","BST1","SNORA71B","CD5","IPCEF1"
"245","FKBP5","SYNC","IGLL5","METTL7A","PDPN","ZNF521","LCP2","LGALS3","PIR","CD37","SNORD17","TMEM14C","LAPTM4B","PVRL2","PCBD1","ELMO3","ARHGDIB","CTSD","ERO1L","SRGN","MYO1D","CASP6","HIST2H4A","MARCKS","C1ORF162","TSPAN4","PAPPA","TRAF3IP3","RTN4","ACTN1","HSH2D","HIST4H4","FADS3","HIST1H3E","CLU","LGALS3BP","SNORA13","HIST1H3D","SAMSN1","CDCA7L","ISG20","SIT1","HIST1H3C"
