"","Astrocytes","B_cells","BM","BM_._Prog.","Chondrocytes","CMP","DC","Embryonic_stem_cells","Endothelial_cells","Epithelial_cells","Erythroblasts","Fibroblasts","Gametocytes","GMP","Hepatocytes","HSC","iPS_cells","Keratinocytes","Macrophages","MEP","Monocytes","MSC","Myelocytes","Neuroepithelial_cells","Neurons","Neutrophils","NK_cells","Osteoblasts","Platelets","Smooth_muscle_cells","T_cells","Tissue_stem_cells"
"754","IFI35","EGR1","CKLF","COASY","RBMY3AP","RFTN1","TRABD2A","ANKRD11","CENPE","CA12","GPSM2","CTSH",NA,"RFC2",NA,"CCDC91","CLMP",NA,"SLC31A1","ZNF667-AS1","MRPL15","SNRPB","CCDC22","ACTN1","RNF144A","RNF130","CLK4","DENR","UBE2J1","HMGB2","NONAME851","RPL23"
"755","LMNB1","MAP3K14","EPCAM","PSMG1","AHR","CDCA5","NAAA","COL9A3","ELK3","ETS2","MARCH3","TCEAL8",NA,"TMSB15A",NA,"LILRB3","NLGN4Y",NA,"TNFRSF21","COPE","ARHGEF10L","HIST1H4C","SEMA4A","ANP32E","TMSB10","PLK2","PET100","MFGE8","ECI2","CHAMP1","OAS2","BEX1"
"756","ELN","CITED2","CD38","CRYZ","EIF4EBP1","DDIT4","PCBD1","RNF182","GNAI2","STAM","CD44","TXNRD1",NA,"ATP1B1",NA,"SUZ12","SOX4",NA,"H2AFY","METTL21A","CD55","NONAME780","SETD1B","COL6A3","DSP","CAMK1D","TMEM135","PCDHB14","HMGB2","MR1","SNRPF","NLGN4X"
"757","IARS","RACK1","NIT2","ARHGAP11A","NXN","LTBP1","RNASET2","CCNB1IP1","MICA","H2AFY","GOLGA8A","HSPA1B",NA,"HLX",NA,"CITED2","WDR12",NA,"SLC18B1","NIPSNAP3B","HSP90AB1","TMSB10","BANF1","IPO5","ERRFI1","CTBS","BTBD1","NONAME593","LILRB2","IARS","ASF1A","ARNT2"
"758","NONAME669","STAG2","PSTPIP2","SLC26A2","LILRB3","MYADM","ATP6AP1","LRFN5","OAS1","SLC25A39","GOT2","CYB5R2",NA,"CD79B",NA,"SNRPD2","ZNF667",NA,"IMPDH1","FHIT","COPG1","CLIC1","CREG1","H2AFZ","IGF2R","FAM209B","COPE","HSPA12A","WDR12","NDP","ITPKB","CYFIP1"
"759","GLIS2","IGF2R","PCOLCE2","ABCE1","PSMB8","MAFF","ATP6V1F","PRDX4","FCGRT","TUSC1","HECA","TCIRG1",NA,"MAFF",NA,"FNBP1","OSTF1",NA,"KIAA0226L","BSG","ARL4C","H2AFX","POP5","NAV3","OLFML3","HBEGF","MED6","PTPN13","WWP1","TANC1","MAFF","IGLL3P"
"760","GRIA1","MLLT6","PSMG1","ASUN","LAMA2","CEP55","CCNG2","AIF1L","SH3TC1","CAMK2N1","STAG2","HOXA10",NA,"PQLC3",NA,"SDAD1","PCGF1",NA,"VAC14","BTN3A2","CARD6","KNTC1","RNPEP","SLITRK4","STK26","CAMP","NRIP1","ANPEP","MNT","ID3","TNFRSF25","SNORA71B"
"761","NR2F2","MTERF3","KDM5D","ELL2","DIP2C","IARS","SMPDL3A","MTCL1","FRY","FBXO6","ZNHIT1","HOXC4",NA,"S100A10",NA,"SLC4A1AP","HESX1",NA,"LSM7","OXCT1","NDUFA13","TCEAL8","ZNHIT1","FAM98B","GSAP","LONRF1","CAT","SP140L","MRPL3","APOL1","PSMB3","HIP1"
"762","VMP1","NONAME715","NONAME813","EIF5A","HAUS1","ITGA2B","IPCEF1","PCDH19","TMBIM1","IRF1","ULK1","RAI2",NA,"MARC1",NA,"CDCA7","IFI6",NA,"TBC1D8","SUZ12","PLA2G4A","ENG","CFL1","TPM2","CDC23","TAC4","APOL3","TUSC1","CYFIP2","FBN2","UBE4A","FOXO1"
"763","C11ORF54","MARCKS","SERPINF1","HIBCH","PPP1R13L","MYL6B","MRPS35","ACTG2","ISG20","LASP1","SNHG10","UBE2T",NA,"ARRDC4",NA,"HACD3","PCK2",NA,"PLOD3","IARS","RAB20","SNRPD2","FBXO46","IRX2","COL9A3","BAZ2B","HACD3","HTR2A","ITM2B","SUSD5","APBA2","PPA2"
"764","COCH","GNAI2","ZNF22","PDIK1L","TRIM47","TRBC1","PLIN2","DGKZ","TMED7","TRIP10","ZNF692","FLNA",NA,"IARS",NA,"CCNB1IP1","BANF1",NA,"RNASE1","MUC1","SDAD1","ERCC6L","SUCLG2","PNRC1","LPCAT1","NRBF2","TOR4A","SETBP1","LCN2","IBTK","LINC00324","HAUS1"
"765","FGF13","ITPR1","CCR1","TMSB10","TUSC1","C2ORF88","CFP","LSM4","CENPA","CKB","ZC3HAV1","IBTK",NA,"PLBD1",NA,"IFIT3","ZNF649",NA,"WDR12","ZBED3","UQCRC1","TUBG1","ERG","TSPAN18","CELSR3","RNF24","TPST2","SLC35F5","OXCT1","NDUFS4","NDUFS8","TUT1"
"766","KLHDC9","ARHGAP24","CFL1","PIM2","SLC35B3","APEX1","BCL2L11","MIAT","EFEMP2","MRPL23","BAG3","IRX3",NA,"PRDX2",NA,"KDM7A","ARHGAP29",NA,"PEPD","CCDC138","ATP13A1","ZEB1","FAM83D","PCDH17","KIAA0895","IER5","WHAMM","ARL6","SDAD1","RPLP2","MX1","CD4"
"767","NAP1L5","SLC7A7","RPL22","SEC23A","NDUFS4","BSG","CSTB","NT5DC1","MAGED1","PIP","DUSP1","LOXL2",NA,"FGR",NA,"ZSWIM6","CPE",NA,"ABRACL","NUDCD2","PLSCR1","BLM","HEBP2","PAM","PAFAH1B3","CSF2RA","SLC15A4","BTBD1","VIM","ZBTB8A","APEX1","FLNA"
"768","CENPK","SNRNP70","DDX60","ATP6V1F","P4HA3","BST1","GNAI2","PELI1","RPL13A","SLC35B3","H19","PODN",NA,"IFI6",NA,"CMSS1","G6PD",NA,"GALM","MID1IP1","RPPH1","CYFIP1","PLSCR1","TLE4","PIK3R1","F3","TCEAL8","PDK3","CCNG1","BSG","CCNL1","TNS1"
"769","SPON2","WDR12","COX5B","PDSS1","KIAA1644","MX2","TTYH3","PGAP1","SYTL4","DGKZ","MYBL2","PTRF",NA,"OXCT1",NA,"CD1D","MSH6",NA,"UQCRC1","TTC27","DNMT1","EPAS1","NUDCD2","ZNF608","FKBP11","TMEM30A","IFI44","PLA2G16","MAN2A2","FBXO32","SPINT2","GALNT5"
"770","ADAM23","CLNS1A","NME1","PRPF8","ZCCHC24","TBC1D10C","CLIC1","SLC1A6","AIM1","SH3BGRL","R3HDM2","SDF4",NA,"TBCK",NA,"IFIT1","HLTF",NA,"CARD6","RUVBL2","HSPA1B","LIF","IFITM2","SLC18B1","BUB1","HSDL2","CRYZ","ROCK2","LCK","DICER1","PIGP","NR3C1"
"771","GLCCI1","IBTK","PARPBP","ANXA5","PTGDS","TMEM268","TNFRSF14","STAM","VMP1","PEBP1","TMEM245","ITGA6",NA,"ANXA5",NA,"LRPPRC","IFIT1",NA,"CIR1","SLTM","GNG2","TGFB2","MIR22HG","CNTN4","GDF15","CRISP3","PLCG2","SERPINF1","TLK1","LDHB","GAL3ST4","RHOB"
"772","SEMA5B","ZBTB25","HEBP1","CEP152","GAS1","SELP","EPDR1","PCDHB15","STXBP1","C8ORF4","CEP85","CD81",NA,"ZNHIT1",NA,"UPP1","LSM4",NA,"MGST3","NDUFS8","MTHFD1","HBEGF","CARD6","PCDHB2","KIF2C","CTSZ","PRMT6","TCEAL8","UPP1","TSHZ1","MPDU1","FKBP7"
"773","TCEAL3","ARPC1B","LSM4","MRPS7","CSPG4","TNFAIP8","FKBP5","CAPZA2","TUSC1","CYB5R1","RHNO1","HSPB8",NA,"LXN",NA,"ARHGAP45","ZNHIT1",NA,"ATP6V1F","NEO1","GLUD1","PLEKHO1","CLNS1A","RAB34","ANXA2","SPAG1","THAP9-AS1","CD248","ARPC1B","AFAP1","C1QBP","SPRY2"
"774","ZHX1","LENG8","SSBP2","UQCRC1","CSRP1","ENO2","ITGAV","CTNNAL1","PALLD","H1F0","VPS39","APP",NA,"MPDU1",NA,"GNAQ","SLC16A3",NA,"DNMT1","TAF4B","KLRB1","TES","ELF4","TMEM251","LOXL1","CCL23","GNA15","CSRP1","BTBD3","KLHL5","MNT","KIF13B"
"775","ABRACL","MAPK13","ANP32E","BCR","EPB41L2","CDKN1B","SUCLG2","HEY2","TSHZ1","TSPAN3","BLVRA","FILIP1L",NA,"PIP5K1B",NA,"YARS2","THAP9-AS1",NA,"DPY19L3","WDR34","RGS19","TRIM4","SF1","ASPM","PPP1R3C","PRKCD","LRRC40","ALDH3A2","SAMD9","UACA","ZNF14","FAS"
"776","AGPAT5","UQCRC1","NRIP1","UBE4A","CTSO","XK","CD69","COL18A1","TSPAN5","KLHL5","H2AFY","STARD4",NA,"ANLN",NA,"CAMK1D","TAF9B",NA,"ACADM","ANXA5","GRK3","MRPL23","DNMT1","ID2","PSMD5","ARRDC3","EZH2","CTSD","TAP1","DYNC2H1","MDS2","SMCO4"
"777","TMEM206","AKNA","PSMB3","HIST1H4E","F8","LITAF","MAP3K4","PDE9A","CTSH","MBOAT2","PHLPP2","ZCCHC24",NA,"SNRNP25",NA,"RGS19","CD200",NA,"ANKRD28","BIVM","PEPD","SSPN","PTPN1","ZNF667-AS1","SIX6","DAPK2","JUND","SOWAHC","CYP1B1","KANK2","TMEM267","PEAR1"
"778","CNIH3","IMP3","MAP3K5","NDUFB7","SCRN1","PMAIP1","ADAP2","STIL","DCHS1","MT1F","ASF1B","EVI2A",NA,"ASRGL1",NA,"TRAT1","IBTK",NA,"RAB38","H2AFV","TNFRSF1A","DLG5","TST","BAZ2B","SLC37A3","HIST2H2BE","PA2G4","HECW2","IL4R","HSD17B11","KLF3","TCIRG1"
"779","CPNE2","PMS2P1","NORAD","SNCA","CD109","COX7B","ANXA11","ATP1A2","KLF10","NCF2","BORA","ATP8B2",NA,"MZT2A",NA,"EGR1","PDE9A",NA,"SH3BGRL3","NDUFB7","CAPZA2","FKBP7","APOBEC3G","CYBA","DENR","NONAME795","PF4","DSTN","STX7","BEX4","BTAF1","EVA1A"
"780","PLXNB2","ZBED5-AS1","TGFBI","SNHG1","KIAA1462","ZNHIT1","DPEP2","CTSC","PHACTR2","LSM4","LINC00520","CEBPB",NA,"HSPA1B",NA,"PPP1R18","ZNF665",NA,"MMP2","TRAPPC1","MTHFD2","SUZ12","CKS2","NONAME889","RBMXL1","SLC43A2","C1ORF21","RIT1","CMSS1","CPNE3","CROCCP2","NDUFS4"
"781","STXBP1","MRPS27","PTGER2","SNRPF","SNHG6","KCTD3","FOS","GOLGA8A","ATP5G2","TMEM71","APOC1P1","IFITM2",NA,"PLXND1",NA,"SKA2","CNRIP1",NA,"DTX3L","BST2","OSTF1","BAALC","KLF4","ARRDC3","SOX5","VPS9D1","RBBP8","PTGDS","CCPG1","LTBP3","GNAQ","PLEC"
"782","ABCA3","CDK2AP2","CLIC1","CAPZA2","NFKBIZ","APITD1","SH3BGRL3","RAB38","BCL6B","GCH1","MED24","SLC2A3",NA,"CD200",NA,"STAG2","MYOF",NA,"PDGFC","CD55","SPHK1","UGCG","TPP1","KDELC1","FADS1","CCL2","ROMO1","RAP2A","SH3TC2","MFAP5","PMS1","HLA-DPA1"
"783","C14ORF132","KLF10","BAZ2B","LYPLA1","TMEM167B","PQLC3","M6PR","THRAP3","FAM64A","MFAP2","PFN1","ZBTB20",NA,"CDKN1B",NA,"TSC22D3","CD44",NA,"SORL1","FGD5-AS1","FAM117A","BNC1","NEAT1","TMEM163","SUZ12","CYP4F2","CHMP2A","CAT","SP2","WNT5A","SF3B5","PSG5"
"784","LIMA1","BSG","TMEM45A","KBTBD8","PRKD1","HOXB2","PSD3","ANP32E","EPHX4","PCYOX1","THAP9-AS1","PTTG1",NA,"SATB1",NA,"F2R","DLK1",NA,"SPIRE1","PECR","ICAM1","DBF4","PGD","ACVR2B","TCF4","HLA-F","CDC23","SULT1A1","CXORF65","PSPH","HLA-J","SACS"
"785","BTN3A3","MELK","UQCRQ","QTRT2","NORAD","MAGEH1","AP2S1","CCNJ","TRIM4","RGS10","TRIM4","KIT",NA,"SULF2",NA,"GNAI2","ALDOC",NA,"CLEC4E","FAR1","LPCAT1","DBN1","SLC25A45","C1ORF54","FEN1","STAT5A","GORAB","YPEL2","MDM1","SF3B6","TRIM14","EXTL2"
"786","GLIPR2","SYPL1","FBXO30","MARCKSL1","ATP8B2","SNRPD1","CCR7","OSTF1","ELF4","SDHD","IBTK","CENPW",NA,"COPE",NA,"RECK","FAR2",NA,"ANKRD29","HNRNPAB","PSTPIP2","PLPP4","CCDC88B","GGH","HHAT","TMEM167B","NDUFA13","CYFIP1","RAB32","ZNHIT1","ATP6V0E2","TBX15"
"787","JKAMP","ANXA2R","MTHFD2","NDUFA13","BSG","TOP1MT","CSRNP1","HACD3","ARPC1A","IARS","MFNG","BEX4",NA,"MICAL1",NA,"TIGAR","TUBG1",NA,"SUCLG2","SLC27A6","RACK1","QSOX1","SF3A2","SERPING1","PFN1","TXN","LSM4","DOCK4","CDC23","CD81","C1ORF228","CAMK2N1"
"788","DGKZ","CFL1","TXN","TOMM22","MEGF10","NRIP1","ITPRIPL2","IRX1","GNAI1","PAX9","STAT5A","PTGDS",NA,"NIPSNAP3A",NA,"ADH5","BAX",NA,"SUZ12","RHCE","C15ORF39","EFS","PPP1CA","STAM","ANXA1","EEF1D","PQLC3","PEA15","SASH3","LIMCH1","MAP3K1","SEC23A"
"789","GBP3","CHMP2A","GCLM","SH2B3","RPLP2","TPM1","MCUR1","PBDC1","RABAC1","RAB9A","ATP6V1A","STAM",NA,"PSMG1",NA,"CMPK2","CAV2",NA,"CD59","TMEM160","CALR","BTBD1","SP2","PKDCC","FGD5-AS1","FNDC3B","DNAJB11","PLXDC2","SWAP70","LRFN5","TRMT61B","CHAMP1"
"790","ZNF91","DAAM1","STK26","GAL","C10ORF11","ARRDC3","TMSB10","ROR2","ADGRG1","HEY1","CBX5","TUSC1",NA,"CDC23",NA,"JAZF1","CTPS1",NA,"KCNJ2","CHAC2","IGKC","PRNP","MB21D1","IGF2BP1","GDAP1","RAB11FIP1","SCAND1","SAT1","DNAJC9","TMED7","ARRDC3","IARS"
"791","CRYL1","NONAME774","ATP23","GNPDA1","CDC42EP1","IL6R","MARCKSL1","BTBD1","PTPRM","PTPN3","GPNMB","BNIP3",NA,"NDUFA13",NA,"PFDN5","ZNF506",NA,"NCAPH","CHPT1","CD244","TUBB3","IGFBP2","AMBN","BORCS7","DNTTIP1","TOX","TNFRSF10D","PDZK1IP1","MAFF","CREBRF","NONAME593"
"792","PAXIP1-AS1","PIGP","OSTF1","TXN2","FILIP1L","PTTG1","PFDN5","BANF1","FRMD4A","ROMO1","ACSL6","MAGED1",NA,"POP5",NA,"SKI","ANP32E",NA,"PNRC1","C9ORF40","SDC2","STEAP1B","RPE","DEPDC1","ECHDC2","TBL1X","ZNF292","BTN3A3","DUSP22","MOXD1","EIF4E3","CEMP1"
"793","TCEAL8","MYBL2","TMOD1","IKZF1","SH3BGRL","DPEP2","ARPC5","HPGD","NUDT14","FOSL1","ACTL6A","KDSR",NA,"MRPS28",NA,"DANCR","BTBD1",NA,"PSMD14","NONAME568","TNFRSF8","FIGNL1","CA4","GAP43","RALGAPA1","BTN3A3","CD55","AHRR","MCUB","PRDX2","STK19","CRIP1"
"794","ADH5","PRPF8","TOMM5","METTL1","TMEM173","FAM19A2","H1FX","GXYLT1","PPIB","MID1","LILRA4","LDLR",NA,"TDRD7",NA,"FAM169A","KRT7",NA,"ST20-AS1","ZFP36L1","UBXN11","MCM4","FAR1","NUDCD2","SLITRK5","FAR1","H2AFV","CLIC4","PMS1","C8ORF88","GNAI2","CRISPLD1"
"795","LAMB1","NUP35","FBN2","TCEAL4","CPNE3","MPDU1","NDUFA13","KCNT2","WIPI1","VEZF1","CKAP5","MOCOS",NA,"SUZ12",NA,"GORAB","STAM",NA,"SH3RF3","HSPA1B","PI4KA","PDGFRL","PIGP","RAB11FIP1","CDKN1B","PIK3R6","MVP","LILRB3","TMEM106C","RBMY3AP","TOMM7","CTNNAL1"
"796","GPRC5B","TTC27","TCEAL8","BAZ1A","TBCK","NMU","PSMD14","LOXL1","DSE","C20ORF85","GRB10","PGM1",NA,"SNORA68",NA,"EIF3E","APOBEC3C",NA,"TDRD9","RCL1","RABAC1","STT3A","ARRDC3","RBMX","SERPINI1","SCARF1","TMSB10","SLTM","TMEM189","SUZ12","LEPROTL1","DEPTOR"
"797","NDUFS8","ASB13","DHRS7","BTAF1","TES","TCEAL3","ARPC1B","MTF2","SP140L","POR","CRY1","STT3A",NA,"ARRDC3",NA,"OXCT1","CD55",NA,"PAG1","IBTK","CMTR2","GTF2I","MAN2B2","TUBB","SNRPB","BAZ1A","PSMC4","ARHGAP18","C3AR1","DDX17","RPS14","SMTN"
"798","TMSB10","BOLA3","NUDCD2","ATP5G2","CYBA","NDUFA13","CORO1C","TAF4B","TMCC3","PLBD1","MMADHC","MT2A",NA,"H2AFY",NA,"NONAME405","DGKZ",NA,"TBC1D2","ABHD14A","BHLHE40","PHF19","P4HB","BTG3","HSP90AB1","KREMEN1","PRPF4B","PAX8-AS1","LINC00324","CIZ1","CRYZ","APOL1"
"799","TRIM24","TNFAIP8L1","COL1A2","CSRP1","BTBD1","H2AFY","SOCS3","VSIG10","ZDHHC13","ST5","LILRB3","SERPINF1",NA,"MYOF",NA,"SH2B3","PGRMC1",NA,"TMSB10","ASRGL1","SLC27A1","SMC3","MS4A7","FARP1","TRAK2","ANXA11","PSMC3","CAPZA2","MLKL","NQO1","MYH9","ATP10D"
"800","THBS2","GPR137B","TUBG1","LILRB3","DOK5","PFDN5","CLC","SMCO4","LINC00520","UPRT","RAB11FIP1","TBX15",NA,"NETO2",NA,"ZNF573","AGL",NA,"TNIK","HSD17B11","CD69","UBE4A","TESMIN","KNTC1","STOM","MICB","VCPKMT","HIST1H4C","TMBIM1","TMEM100","PCYOX1L","CARMIL3"
"801","WDR47","UVRAG","RAP2A","PLA2G4A","MIR31HG","SUZ12","H2AFY","WDR12","CDKN1B","CTNNA1","TARS","F2RL2",NA,"AAED1",NA,"ANXA5","AP2M1",NA,"AP2S1","PSMB10","HNMT","FGD5-AS1","APPL1","C5ORF30","ANXA5","STAG2","C1QBP","IFITM2","FAM19A1","LAMA2","LINC01420","HSPA2"
"802","BNIP3","ZNF367","USP9Y","PLD6","SH3TC1","EPHX2","PPP1R16B","COX7B","HACD3","F2RL1","COASY","PSMB8",NA,"NPDC1",NA,"FAM193A","CAPZA2",NA,"HACD1","HEBP2","ILF2","PRDX4","SLC4A1AP","MAD2L2","BSG","FAM49B","TXLNA","PLP2","GPR160","RACK1","MT2A","MSC-AS1"
"803","COPE","HSD17B11","CKAP4","AMIGO2","PRTFDC1","PRDX1","WDR54","IGDCC3","AFAP1L1","MYC","H2AFZ","RPL22L1",NA,"PEBP1",NA,"GBP3","F2RL1",NA,"TMEM220","SEMA3C","RPLP2","PXDC1","PFDN5","RBFOX2","SCAND1","SP2","C12ORF57","TCIRG1","LPAR4","S100A10","GCSAM","CDKN1B"
"804","BTBD3","MBNL1","DAAM1","GYPC","TACSTD2","CDK2AP1","ATIC","BCHE","DOCK6","PIGP","U2SURP","SBF2-AS1",NA,"LSM4",NA,"IL2RB","SLC7A11",NA,"ACOT7","SH3BGRL","CDC23","TMEM246","CAPZA2","ALDH1A3","BTBD1","DHRS7","KLF10","PRKD1","TIGAR","ZNF610","CMTM8","LYPD1"
"805","EZH2","AP1G2","CSF2RA","IBTK","CDKN1B","NYNRIN","CDC37","DKK1","KIF18B","NMRK1","TCERG1","PRDX4",NA,"TIFAB",NA,"REPS2","IRAK4",NA,"GLDN","DDX39A","SGSH","ASF1B","ILF2","EFS","SPP1","TNFSF8","PSMD8","TES","LXN","BANF1","GUK1","BTBD1"
"806","HOXA5","BTAF1","IL10RB","PSIP1","EML1","ALG8","ZC3H12D","EOMES","PSMC3","C1QBP","YLPM1","PTPRM",NA,"ACTA2",NA,"SACS","MOB3B",NA,"HMGN3","HMGB1","APEX1","OSTF1","PEX6","BEND5","HIST1H4C","SLC4A1AP","SLC16A3","LEPR","CYB5A","SLC16A9","LYSMD2","ANXA4"
"807","ANGPT1","MRPL3","PTPRCAP","USP15","MPDU1","COPE","HIP1","TES","UBE4A","HRAS","MAP1LC3C","LIMA1",NA,"CTPS1",NA,"ATP2B1","RFC3",NA,"IFNGR2","TOM1L1","ATP2B1","UHMK1","EIF4E3","COL18A1","MAD2L2","IL7R","SUSD6","LIMA1","IFITM1","CDC25B","SNORA61","SNHG6"
"808","STK33","LINC00324","WDR12","ALDOC","NR3C1","PNMA1","HK1","PCK2","CD99","KLF3","HECTD4","FOXO1",NA,"ILF2",NA,"BHLHE40","PON2",NA,"HK1","NORAD","ALYREF","TCIRG1","H2AFV","TCERG1L","RHOQ","YIPF3","CHAC2","PLAC9","SDC4","ICAM2","TRAV22","DBF4"
"809","STAM","APEX1","FNBP1L","MRPS10","SLPI","ZNF367","PDLIM4","SCRN1","PNRC1","STEAP2","TPP1","NORAD",NA,"RPL22",NA,"BSG","ZFYVE21",NA,"CNRIP1","BTBD1","EHD4","C15ORF52","RPL13A","GUCY1B3","CYSTM1","F11R","ZNF12","HOXC9","XAF1","LOXL2","BTBD1","FGD5-AS1"
"810","DHRS7","NONAME778","MRPL15","RBMX","SUCLG2","ANXA5","ABCA6","RBMX","SDC4","DBI","DBF4","RABAC1",NA,"MRPL3",NA,"CROCCP2","LY6E",NA,"HLA-F","DENR","HLA-C","CDT1","NONAME795","MAGED1","KCTD3","MCTP1","UBE4A","TMED7","CMTM6","ARHGDIB","VCPKMT","SCUBE3"
"811","UBL3","TAP1","ABHD5","POMGNT2","AMZ2P1","FGD5-AS1","TCEAL4","ASNS","CD46","FHOD3","EIF2AK1","CAMK2N1",NA,"EBF1",NA,"IL17RA","RABAC1",NA,"HSD17B14","ACTN1","SPTSSA","PRDX2","PSMD14","ZNF738","THAP9-AS1","PSCA","C21ORF91","EVA1C","SERPINE1","PTRHD1","DUSP2","TXNRD1"
"812","KCTD3","PSMD8","TCEAL9","CBX5","ATP5G2","CAPG","MGST3","H2AFZ","PLEKHA1","NT5DC2","KLHL24","FAS",NA,"ETV6",NA,"CD8A","RALGAPA1",NA,"METTL21B","GTF2H4","ST3GAL5","CRISPLD1","MRPS27","ZNHIT1","IARS","PRKCZ","GALNT11","GNPNAT1","TBXA2R","RALGAPA1","FBLN7","DBN1"
"813","PPP1R1B","SCPEP1","UROD","FGD5-AS1","TCEAL4","CRYZ","MOB1B","PRTG","DFNA5","TENM2","MRPL13","HMGCS1",NA,"SMAD7",NA,"DDX58","CHD7",NA,"RNASET2","LSM4","CYBRD1","SDF4","RPLP2","CREG1","MTCL1","VEGFA","PI4KA","NMU","WDR3","UBE2E2","WWP1","NEDD9"
"814","ADGRB2","CLIC1","MICB","OSBPL3","THEMIS2","RPLP2","SFXN3","ABLIM1","IL15RA","TMEM154","ZHX1","HOXC9",NA,"ALCAM",NA,"PMAIP1","DHRS3",NA,"ABCE1","PRTFDC1","MT1X","SLC38A2","CNN2","SH3BGRL","UBE4A","CCNG2","GUK1","S100A6","GAB3","F8","CD40LG","MKNK2"
"815","HLA-DMB","TTK","ZNF12","GCN1","IKBIP","TCEAL2","PPM1L","ATIC","DTX3L","LDLR","GNAQ","LAMB2",NA,"CLNS1A",NA,"RPS21","RFC2",NA,"BPI","SCCPDH","TMEM268","TP53I3","GALNT7","TRIM28","ZWILCH","OSTF1","MIAT","KCNK2","HLTF","MSC-AS1","NRBP2","IBTK"
"816","NCAM2","PHACTR1","AKAP12","ICAM3","SFXN3","CRYM","SLC4A1AP","MSH6","FBXL7","PSENEN","CCDC86","CENPM",NA,"CUEDC2",NA,"MAST3","STC2",NA,"RPL13A","STAM","ZNF267","AP1S2","NORAD","SLC7A5","TES","STK4","HERPUD2","BEX3","KRBOX4","SWI5","PPA1","IMPA2"
"817","NEK6","SNRPF","C4ORF32","ADCY7","DICER1","MRPS28","LPCAT2","TRIM28","NUDT19","RTP4","DNAJB9","SDC1",NA,"FKBP5",NA,"TTC27","NT5DC1",NA,"ATP6V1B2","TMSB10","METTL7A","BSG","BIRC5","BTBD1","NORAD","BTK","STAMBPL1","AGL","NONAME681","TOM1L1","SBK1","NUAK1"
"818","SLC4A1AP","OSTF1","OAS1","ADGRG7","MELTF","RPL13A","FAM126A","BSG","MRPL23","SDF4","VEGFA","NONAME487",NA,"TNFRSF21",NA,"ARRDC4","STAG2",NA,"CDC37","CAPZA2","MRPL13","TRAPPC1","LINC00852","CMSS1","RAB34","PTP4A3","UBE2Q2","CYSTM1","NPTN","TMEM14A","TRAV8-3","GPAM"
"819","ZBTB41","SH3TC1","PNP","CCR7","MT1F","SLITRK5","SDHD","LNX1","UBE2T","GALE","ELOVL1","TMEM97",NA,"FGD5-AS1",NA,"HSP90AB1","CBR3",NA,"HYOU1","CXXC5","PLP2","ABI3BP","MRPS33","CRIM1","KIF1A","SCLT1","LYSMD2","GSTA4","SACS","TMEM256","AKAP11","PKD2L1"
"820","HMOX1","C8ORF59","C8ORF59","FADS1","UBE2E2","BAMBI","WIPI1","SRRM2","MAP3K11","TCEAL4","MARK3","CTSB",NA,"MFSD1",NA,"KDM6B","CLIC1",NA,"PRR34-AS1","TBCK","IPCEF1","MOV10","NFAM1","MPDU1","RIMS3","ARHGAP26","MRPL9","PRTFDC1","BNIP2","G6PD","ATP6V1F","AKR1B10"
"821","FAM127A","MRPS35","KPNA2","GSE1","SGCD","LSM4","DUOX1","DUSP5","SH3BGRL","SEC23A","CNKSR3","SOCS5",NA,"SNHG21",NA,"ASF1A","KCNK1",NA,"PSMB10","UQCRC1","SLC27A3","NME1","PRDX5","HJURP","TOMM20","PSTPIP1","NORAD","CDKN1B","ME1","LAYN","DENR","MBNL1"
"822","IRX2","C19ORF54","SPIB","PDIA5","APP","TOM1L1","BLOC1S6","GNG4","ZNF22","UQCRQ","GCH1","TBCK",NA,"CYBB",NA,"ARRDC3","GXYLT2",NA,"PTPN12","MTERF2","TMCC3","RGMB","PSMB10","NDUFA13","RGL1","SCT","GPX7","IGF2R","NCK1-AS1","NME5","KIF5C","MST1"
"823","KIF1B","THAP9-AS1","BEX1","TOMM5","INHBB","TTK","PPP1CA","CMSS1","PAICS","CCNA1","GUCD1","UBE4A",NA,"MS4A7",NA,"FASTKD1","KCNS3",NA,"STAT5A","UBE4A","C1QBP","SMC4","FAM50A","MEGF10","OLFM1","DDX60","LRP12","PLAG1","PRR34-AS1","MEGF6","SNHG9","HEBP2"
"824","SMARCD3","ATP2A3","PLEK2","ACTL6A","SCARF2","CLIC1","SKAP2","HNRNPL","NONAME397","EPS8L2","ASF1A","CAPZA2",NA,"PFDN5",NA,"IDS","TCEAL4",NA,"UBE4A","ZNHIT1","ELF4","HEBP1","GAK","EMP3","TRIM4","PLEKHM3","STK10","SEC23A","SSBP2","SLC35B3","TCEAL8","LRFN1"
"825","WWTR1","MICALL1","RABAC1","CPNE3","GLIPR1","SLTM","ABRACL","ZNF711","SMTN","FAM129A","DDHD2","HOXD8",NA,"SLC25A33",NA,"LRP10","UBE4A",NA,"ASAH1","LDB1","FGD5-AS1","TBC1D9","CKLF","CENPM","ARHGDIA","PTEN","NR3C1","SMIM3","TOM1L1","COL4A5","ABCE1","PMEPA1"
"826","APOE","RPL22","SVIP","FAM216A","MZT2A","CLNS1A","FLT1","PRMT6","TRAPPC1","HLA-DRA","FIS1","RAB3B",NA,"SPIN4",NA,"NINJ2","DDX25",NA,"BEX3","ATP23","RXRA","GMNN","HDHD2","EFR3B","NCAPG2","RAB8B","TNFRSF4","SMAGP","AKR1C3","MSX1","EID3","RACK1"
