"","Adipocytes","B_cells","Chondrocytes","DC","Endothelial_cells","Eosinophils","Epithelial_cells","Erythrocytes","Fibroblasts","HSC","Keratinocytes","Macrophages","Melanocytes","Mesangial_cells","Monocytes","Myocytes","Neurons","Neutrophils","NK_cells","Pericytes","Skeletal_muscle","Smooth_muscle_cells","T_cells"
"102","LMCD1","ZBP1","RND3","C1QC","CDH13","ITGB7","ERRFI1","FAM178B","LAMB1","MS4A3","RPPH1","SEP15","NRP2","QPRT","PLBD1","CDH11","ATP1A3","CEACAM3","CLIC3","RAI14","ADSSL1","TNFRSF11B","RASGRP1"
"103","SNCG","MAP4K1","LTBP2","SNORA21","EMCN","ITGAL","PMEPA1","ARG2","FLNC","TSPAN2","EPN3","C1QB","HIST3H2A","HOXA9","SNORA75","CDH13","BEX2","GLT1D1","SNORA47","IL33","FNDC5","HIST1H4L","GIMAP4"
"104","DDR2","SYTL1","MMP2","PPP1R14A","PRSS23","HSH2D","HSPG2","GMNN","SERPINF1","LYZ","CDH1","CD84","HIST1H4L","MMP14","SNORA23","LOXL4","CKB","CYTH4","SNORA36A","FSTL1","RBM24","LMO7","SCARNA5"
"105","GFPT2","SCARNA1","LMCD1","MSC","TFPI","LSP1","HIST2H3A","CCNB1","COL8A1","CD79B","SPINT2","CD163","TUBB2B","MT1E","ALOX5","CRLF1","PCDH9","SNORA74A","XCL2","LTBP2","RGMA","CA12","STAT4"
"106","C1R","PLCG2","PSD3","SNORA38","CCND1","TMC8","THBS1","BLVRB","EHD2","PPAPDC1B","ANGPTL4","NCKAP1L","TTYH2","AEBP1","SAMSN1","IGFBP6","SMPDL3B","CYTIP","GNB2L1","MRC2","SMPX","FRMD6","TXK"
"107","RASD1","BTK","ADAM12","SRGN","SORBS2","S100P","NME2","NPL","ADAMTS1","NME1-NME2","FSTL3","CD48","SLC7A11","TGM2","LCP1","TNNT2","SCD5","LYZ","ITGAL","F2RL1","FABP4","COL4A2","GPR183"
"108","PTRF","EAF2","VCAN","ST8SIA4","DLL4","FCGR2A","F2RL1","KIT","LRP1","NCKAP1L","DDR1","SNORA74B","MME","COL5A2","CD53","TUBB3","C11ORF87","KCNJ15","SPON2","AXL","ASB5","NRP1","SNORA2A"
"109","TUSC5","SCARNA8","NDUFA4L2","PPP1R16B","EPHB4","CD101","HES4","UBE2C","TGFBI","PDE6G","HTRA1","CPVL","BACE2","IL32","CLEC12A","PLAU","DBNDD2","SNORA23","FGR","MSC","CAND2","FBLN1","ARHGAP15"
"110","AKR1C1","LAPTM5","AXL","XIST","NNMT","SELPLG","AHNAK2","HBZ","COL4A1","NREP","CYP27B1","SNX10","FCRLA","CKB","HK3","FAM129B","ANK2","FYB","DUSP2","NT5E","AKR1C2","ADAMTSL1","CORO1A"
"111","MXRA8","SELK","CHI3L2","CFB","PLK2","DOK3","MT1E","LAPTM5","IGFBP5","MYEOV2","SERPINE1","SLCO2B1","HIST1H2BL","PDLIM7","SNORA84","WNT5A","PLXDC1","TLR2","TXK","SERPINE2","GPX3","LRRC17","PIK3IP1"
"112","MEST","DTX1","PDE5A","SLAMF1","CAV2","CFD","MMP14","SNCA","HTRA1","EIF1","ADAM8","SNORA20","CCND1","LAMB1","TLR2","MT1E","LRRC49","STEAP4","SCARNA14","NRP2","JSRP1","LAMC1","RNU4ATAC"
"113","C1QTNF1","HLA-DMB","GNG12","CFP","KRT7","CAMP","CAV2","NUP62CL","CCND1","ARHGAP9","SEMA3F","MYO1F","SGCD","PTPRF","ITGAX","RPPH1","GABRB2","LCP1","ITGAM","HIST2H4A","SLPI","CLU","IKZF1"
"114","VCAN","SNORA71A","CAV1","LGALS9","TXNDC5","SNORA38B","TGM2","ST6GALNAC1","LOXL2","APOBEC3C","HIST1H3C","KYNU","AVPI1","PMEPA1","CCL4","TFPI","CRYAB","TLR1","SNORA63","KANK2","COX7A1","LOXL1","CD53"
"115","TNXB","LRMP","POSTN","SNORA20","GMFG","C11ORF21","TPM1","BIRC5","MMP14","ACAP1","IER3","FPR3","ACP5","HOXA3","C19ORF38","CFH","MAP7D2","TMEM71","ITGB2","TPM2","CD36","RPPH1","CD7"
"116","ASS1","LSP1","ADM","MRC1","NES","DENND3","ITGB4","CENPM","GPX8","CLDN10","PRKCDBP","SLAMF7","ATP10A","IGFBP7","LCP2","LAMA2","FAM134B","PILRA","SNORA2B","THBS2","RORC","TM4SF1","PTPRCAP"
"117","RBP7","SNORA23","CSGALNACT1","IGSF6","CYR61","CXCR4","CRB3","LYZ","IGFBP7","JAK3","MT2A","CD86","PIR","ITGB3","SCARNA1","THBS2","SPARCL1","IGSF6","SNORA53","THBS1","TCEA3","PLS3","BIN2"
"118","ANGPTL4","RHOH","GDF5","ATF3","PLXNA2","ICAM3","LAPTM4B","ARHGAP15","ADAMTS2","TRO","DSC3","ATF3","SLAIN1","LAPTM4B","CD74","SNORA23","KIAA0408","SNORA71C","CD244","CDCP1","HBA1","LTBP2","SKAP1"
"119","ABCA6","SEL1L3","BICC1","MCOLN2","AFAP1L1","LAPTM5","TNFRSF12A","SLC25A37","PTGS1","ATP8B4","AP1M2","PTPRC","OASL","KRT7","DUSP2","TPM1","REEP1","FCN1","STAT4","MEG3","CAP2","CDH6","SNORA60"
"120","LAMB1","TPD52","CFH","ARAP2","GNG12","LRRC25","FAM84B","MYEOV2","SLIT3","PECAM1","TNC","SNORA47","SCD","CLDN6","RGS2","SRPX2","MORN2","ICAM3","TYROBP","EMILIN1","APOBEC2","CLMP","HMHA1"
"121","APOE","FGD2","FAM114A1","TNFSF13B","RAI14","C16ORF54","GDF15","CENPF","CTGF","CXCR4","SORL1","SLC11A1","HIST2H3C","HIST1H2AJ","CYTIP","CACNA2D1","DNM3","PTGS2","PTPRC","PRKCDBP","CACNB1","C1R","PDE3B"
"122","HLA-DRA","AIM2","PXDN","ADRBK2","COL8A1","TBXAS1","RAB25","PLEK","ADH1B","DANCR","TFPI2","AIF1","HIST2H3A","TMEM132A","SNORA28","ITGB5","NDUFAF4","CD53","MYO1F","SCARNA2","ANK1","EXT1","SMEK1"
"123","CFH","TNFRSF17","MRC2","SCARNA22","FSTL1","PGLYRP1","AMIGO2","TAL1","HSPG2","HIAT1","AGRN","CAPG","RCAN1","SPOCK2","HLA-DQA1","PSD3","ZNF208","FCER1G","CD52","MAEL","LMOD2","LAMB2","FAIM3"
"124","TIMP3","IL10RA","SEMA3C","SELT","CLU","GMFG","HIST2H4A","MCM10","VGLL3","NUCB2","MMP14","MREG","NEDD4L","ARL4C","STAB1","MYL4","SUSD4","PADI2","BZRAP1","IGFBP4","FAM134B","THBS1","BIRC3"
"125","FCER1G","PTPRC","ZNF521","SPP1","EFNA1","PTPRC","NTN4","SNRPD1","NRP1","HNRNPA1","PKP1","RNASE6","MGAT5B","MMP2","KYNU","AK5","UCHL1","RGS18","PDZD4","CD248","RNASE1","FAM129B","ARHGAP9"
"126","MT1X","BANK1","LRP1","IFI30","HIST1H3C","MXD1","LAD1","C4ORF27","NME2","IFITM2","CAV2","SLC1A3","NLGN1","PTRF","RNU4ATAC","MYO1B","FABP3","CFP","CD2","ANTXR1","MLIP","PCDH18","LAPTM5"
"127","CLMP","CORO1A","NQO1","RASGRP3","SNCG","RNASE2","TPD52L1","CIRH1A","LAMB2","MLLT3","SERPINH1","IRF8","ITM2A","RHOF","RNU12","MYL1","APLP1","PLXNC1","CD97","DPP4","SLC25A4","PDGFRB","C1ORF228"
"128","FBN1","NCF4","MYOF","ITGAX","F2R","LCN2","ESRP1","ACAT2","LAMC1","TRAF3IP3","FBLIM1","SNORA7B","COL11A1","HIST1H3C","HLA-DMB","DNAJB4","RAB3C","ADAM8","HCST","LAMB1","ECHDC3","ACTA2","TAGAP"
"129","CCDC69","E2F5","ERG","SNORA71D","GRAP","LCP2","C1ORF106","CNRIP1","LTBP1","CKS2","PNLIPRP3","C3","GREB1","NME2","IL1RN","PAMR1","FGF12","DGAT2","BIN2","STRA6","CACNG1","AHNAK2","GMFG"
"130","FN1","SNORA75","OMD","SLC7A11","CNN3","RASGRP2","TMEM54","LCP1","MAP1B","MFNG","ST6GALNAC2","SNORA23","FSTL1","SPINT1","CLEC4E","TGFB2","ATP6V1G2","PLEK","CD48","FSCN1","ADCK3","ADAMTS1","SCARNA8"
"131","MS4A7","SNORA2A","PTGFR","NCKAP1L","PROCR","PTPN6","MYO5B","FAM46C","PSAT1","CORO1A","THBS1","LGALS9","HERC5","TMEM98","SCARNA3","DCBLD2","ATL1","CORO1A","CD53","DLC1","BIN1","MEIS1","HLA-F"
"132","AQP1","SNORA5C","ADCY4","NRP2","GIMAP8","GATA1","LAMA5","RHD","S100A16","SRPR","NME2","SNORD89","MBP","FSTL1","LY86","CRYAB","PCDH17","SNORD15A","CD69","LTBP1","ALPK3","PFN2","SORL1"
"133","PDGFRA","SNORA28","GPX8","SNORA23","CALD1","ARRB2","TM4SF1","IL2RG","PHGDH","MPL","AJUBA","SLC7A7","SCARB1","CRIP2","SNORA61","LMCD1","KCNK1","SCARNA1","ITGB7","FAM114A1","DUSP26","NBL1","ERBB2IP"
"134","TYROBP","HLA-DOA","TBX15","TNFAIP2","IGFBP4","DOCK8","EPS8L2","SPCS2","SCD","C1ORF162","GYLTL1B","CCL3","SEMA6A","SULT1C4","FCGR2C","LOXL2","CEP76","GMFG","PRKCH","JUP","SMYD1","MYOF","FHIT"
"135","TAGLN","ST6GAL1","CALD1","IL6","TLR4","LTB","LCN2","HPRT1","CNN3","SOX4","PRSS8","FABP3","CIT","TNC","LSP1","FHL2","KCNMA1","ITGB2","GIMAP7","COL16A1","SVIL","DPYSL3","LCP2"
"136","COL12A1","NRD1","LTBP1","BCL2L11","ZNF521","SNORA34","SDC4","TK1","RPS4Y1","C9ORF89","PPP1R13L","PIK3AP1","MMP14","DBN1","CXCR4","CNN3","CACNB4","LAPTM5","TBC1D10C","GPR176","SOD2","GPC6","SNORA63"
"137","PDGFRB","EVI2B","SPARC","MAOA","SH2D3C","RAB37","YAP1","FCER1A","CHPF","LCP2","FAT2","PTPN6","LAPTM4B","TGFB1I1","MYO1G","DKK3","TM6SF1","DYSF","PLEK","FADS2","FHL3","FSCN1","MGAT4A"
"138","GLUL","HLA-F","NPR3","PTPRC","RASIP1","PSD4","LSR","ITM2A","RND3","FCER1A","OCIAD2","EMP1","EPB41L3","LSR","VNN2","ADM","ARHGEF33","ALOX5AP","SPN","OLFML3","SH3BGR","SNORA23","ITM2A"
"139","PCOLCE2","IL16","CMKLR1","ALDH1A2","RNASE1","LCP1","LLGL2","CDC20","SERPINE2","ELMO1","EFEMP1","RNU6ATAC","SCARNA2","LTBP2","CD97","GAS6","RGS16","CXCR4","SASH3","NRG1","HSPB3","NME2","LCP1"
"140","FAM213A","WDFY4","FHL1","DAPP1","SNCA","SAP25","DAPP1","ARL4A","PLK2","RAC2","TNFRSF12A","GMFG","GNAL","HNF1B","OSM","KANK2","NTM","EPHB1","AOAH","TUBB3","UNC45B","CNN3","ATHL1"
"141","ZBTB16","ACAP1","LOXL1","SPINT2","CNTNAP3B","CACNG6","MYOF","RRM2","LRRC17","GUCY1A3","EGFR","SNORA14B","IFI44","CHPF","SLC7A7","LOXL1","CASQ2","NFE2","GIMAP4","ADAM19","KCNJ11","UCHL1","RGS1"
"142","MARC1","SLC17A9","PLOD2","CXCR4","PRKCH","KSR1","OCLN","HLA-DRA","P4HA2","SYK","ID1","FABP5","HIST1H3E","FOXD1","GMFG","MEST","SLC1A3","ARHGAP26","LCP1","NRP1","MYOG","S100A16","PRKCH"
"143","HTRA1","SRPR","THBS1","ARNTL2","FLNC","RCSD1","HIST1H4D","CENPK","TMEM98","IQGAP2","TPBG","PARVG","TEAD1","CCND1","EVI2B","TGM2","ACYP2","LRRC25","FCER1G","FAT1","IGFBP5","PAPSS2","ITGB2"
"144","PLA2G16","GMFG","FHL2","SNORA84","ITGA6","PTAFR","PKP3","ARHGDIB","COL16A1","CIRH1A","PTPRF","SDC2","ISG20","RPL36A-HNRNPH2","CXCL2","NPTX2","CNKSR2","IFITM2","SNORA59A","OLR1","ZBTB16","CD248","SATB1"
"145","SERPINH1","NEIL1","LRIG3","RNU6ATAC","TNFSF18","RASSF5","RAI14","RPS4Y1","FKBP9","ICAM3","MYO1B","ALDH1A1","PAQR8","PRKCDBP","SNORA65","AOX1","SLC8A1","LCP2","DOK2","FHL2","CLIC5","LMNA","FLT3LG"
"146","APCDD1","P2RY8","MYO1B","TNFRSF4","SERPINH1","GNB2L1","TERC","LMO2","MYOF","DOCK2","HIST1H4L","NCAPH","FN1","COL6A2","PTGS2","GNG12","MAP1B","LSP1","ARHGAP9","FBLIM1","DEPTOR","GPR176","SEP15"
"147","PDE3B","NHP2L1","HSPG2","TXN","LAMB2","ABCA7","SCEL","FCER1G","CRABP2","FAM195B","SH2D3A","NCEH1","CA14","OCIAD2","IRF8","MYF5","RORA","SNORA6","MYBL1","LIF","PLIN4","HTRA1","IL16"
"148","PECAM1","PARVG","TPM2","TREM2","HIST1H2BO","PLCG2","EPCAM","SLC25A21","TM4SF1","ITGB2","FN1","AGPAT9","RAB27A","SPARC","EVI2A","FAM114A1","CRMP1","CTSS","HLA-F","DCBLD2","ACSL1","HSPG2","GBP5"
"149","LRP1","IRF4","ID1","SELPLG","FLT1","GMIP","MPZL2","HAUS8","PTPRS","CCDC23","PTRF","SDS","RMRP","CRB3","IER3","ALPL","NPPC","SNORA5A","ARL4C","CNN3","SERPINF1","THY1","LY9"
"150","SNORD17","SELL","MYLK","APOC1","PDGFB","SNORA37","FLNB","PBK","FERMT2","ACSM3","CDCP1","CPM","RSAD2","DSP","HCLS1","LAMC1","C14ORF1","EVI2B","CORO1A","LRP1","CAPN3","LAMA2","HCLS1"
"151","TWIST2","KCNN4","SMOC1","CTSS","VEPH1","IDO1","CELSR1","CD69","KDELR3","ICAM2","ST14","SELT","SLC7A5","HKDC1","CD37","RND3","PTPRM","FAM157B","SH2D2A","TNC","PADI2","MEG3","GIMAP2"
"152","ERRFI1","HCLS1","BGN","CD53","TUBB3","FMNL1","CNN3","KIAA0020","SVEP1","LMO2","TGFBI","LY86","GNG12","HOXB9","STX11","LAMB2","YWHAH","ARG1","CCL3","HIST1H4L","SEPP1","NEDD8-MDP1","BCL2"
"153","KANK2","PTPN6","PCSK1","PLEKHA5","SHE","HLA-F","DCBLD2","FCGR2A","SPOCK1","AKR1C3","LSR","CECR1","TERC","GPRC5C","PPBP","EPDR1","DEFB1","SNORA2A","GIMAP5","THY1","SLC47A1","FGL2","ARHGAP4"
"154","CLEC3B","HMHA1","FST","CDKN1A","FLNB","CYTH4","PRSS8","GAD1","LMNA","STAP1","SH2D5","CD83","APOE","LHX1","TMEM176B","MAP1B","ARHGAP26","CHI3L1","GIMAP6","PCOLCE","KIAA1217","ISLR","AMICA1"
"155","THBS1","SASH3","GPNMB","HSH2D","PALMD","SIRPB2","SH2D3A","PRIM1","GPR176","CST7","UPP1","FERMT3","CHCHD6","CNN1","ITGAM","PXDN","CTTNBP2","HSPA6","ARHGAP30","VAT1L","MYL3","RPS4Y1","GIMAP6"
"156","ITGA7","P2RX1","RCN3","WNT5A","PREX2","PADI4","PCDH1","CDC45","HGF","RSL1D1","HIST2H4A","RAB20","KCNIP3","KANK2","TAGAP","TNFRSF12A","KALRN","HCLS1","SCARNA5","FOXF1","ERRFI1","ABCA8","SEMA4D"
"157","PTPRS","ITM2C","MMP14","AGPAT6","JUP","AKNA","RPS4Y1","CENPN","LTBP2","RQCD1","ESRP1","CD74","TYMP","CD276","FGL2","PFN2","DNAJC12","BIN2","FAM65B","ITGB5","MYH14","PXDN","ITGAL"
"158","CCDC80","ICAM3","AKAP12","ITGB2","EMP1","SEMA7A","NCF2","ICAM2","MEG3","IKZF1","RAB25","HLA-DPA1","PFN2","NID2","CD68","TFPI2","BCL11A","TAGAP","TGFBR3","FAM129B","PKDCC","LXN","SNORA53"
"159","ACSL1","CD40","CSPG4","HLA-F","HIST1H3B","IL18R1","IGSF3","HPGDS","MYL9","IGLL1","TM4SF1","CSF1R","TBC1D7","TNFSF10","PECAM1","MME","RAB3A","MME","RUNX3","PLOD2","MYH6","PLOD2","FAM134B"
"160","BTNL9","ARHGAP4","CA12","ANKRD33B","PIEZO2","PLEKHG3","IER3","TFRC","NQO1","DCP1A","HIST1H3E","SASH3","GAS2L3","ELF3","TBXAS1","VGLL3","KCNIP1","FMNL1","SCARNA6","PITX2","CHRNA1","GEM","ICOS"
"161","CCND1","SYK","CRIM1","PTGIR","HHEX","CSF2RA","RBP1","BANF1","AMOTL2","PMAIP1","KLK8","DHRS9","PTTG1","MLPH","SCARNA15","PLK2","C3ORF14","SNORD8","SLAMF7","IER3","IL6R","RPS10-NUDT3","CD4"
"162","AKAP12","RASGRP3","LNX1","CD1C","MYOF","RNF166","SYTL1","SLC29A1","GNG12","SPINT2","EREG","CSTB","AATK","HS3ST3A1","IGSF6","IL32","CYSTM1","TLR8","CMC1","LAMC1","CSRP3","ID1","ETS1"
"163","ITGB5","ARHGAP9","FOXC1","DOCK10","NFIB","SYNE2","HIST1H2BL","EPCAM","PLS3","HLA-DQA1","HIST1H2BL","NRP1","PLXNA1","HIST1H3F","HLA-DMA","RPS4Y1","EBF1","TMEM154","ITK","DPYSL3","AKR1C1","COL4A1","ARHGAP30"
"164","IGFBP4","SELT","PCOLCE","NCF2","EXOC6","C10ORF54","LIPG","SRPR","CLEC3B","TSPAN32","CALML3","MYEOV2","SRPX","SPTBN2","SNORA55","TNFSF4","SLC6A1","LRG1","SELPLG","SCD","CFD","AXL","CCDC88C"
"165","SERPINE1","IRF8","CACNB4","FGL2","PTPRF","PHOSPHO1","LAMB2","KCNH2","ANPEP","LRMP","LIPG","AMICA1","HIST2H3D","ANXA3","CCL3L3","TUBB6","SORL1","SLA","GBP5","PAPSS2","HHATL","TMEM200A","CD97"
"166","IFI27","SNORA71C","PCOLCE2","CRLF2","LTBP2","CD37","CRIP2","EIF1","GJA1","SLA","CXCL3","HLA-DMA","HIST3H2BB","PDLIM4","CLEC4A","TMEM47","NDUFA7","PLBD1","SKAP1","TMEM132A","CASQ2","SCARNA16","DEF6"
"167","MS4A4A","SMEK1","SLC2A12","ADAM19","IGFBP7","C15ORF39","CHPF","GMPR","FAT1","MDK","SCD","C15ORF48","LYST","RMRP","F13A1","GPX8","STEAP2","PHOSPHO1","CYTIP","HSD17B2","SLC16A10","PCOLCE","ABLIM1"
"168","GPAM","OSBPL10","LPAR1","ADAM8","TCF4","HK2","STAP2","TYMS","PTGIS","MFAP4","IRX4","LGALS3","GDF15","DOC2B","HCK","IGFBP4","PRRT1","ARHGAP25","KLRG1","YAP1","CNTFR","EHD2","RASSF5"
"169","FBLN1","TMEM156","DAB2","SEP15","CXCR4","ANKRD44","DSC2","H2AFZ","FAM129B","RARRES3","WDR66","HCLS1","FAT1","MT2A","THBS1","NME2","ARHGAP5-AS1","SELPLG","CXCR4","TERC","ARRDC2","ASS1","IL32"
"170","MGST1","MEI1","PPFIBP1","PPARG","NOTCH4","PIK3R5","LOXL2","NDC80","MXRA7","RPL3","HIST2H3D","RASSF4","CHL1","IGFBP6","LILRB2","TIMP1","SDR16C5","LILRA2","GMFG","KIRREL","FKBP5","LOXL2","LSP1"
"171","TGFBR3","CCDC88B","MAP1A","LILRB4","CRIP2","FYB","PFN2","S100A4","MYLK","TFPI","SLC38A5","CYTH4","PTPRS","CD74","FYB","ID3","PKIB","PTPN6","SEPT1","EPAS1","TNS1","MAP1B","GRAP2"
"172","PALMD","IL2RG","ASS1","LRRC61","EPHA2","SNORA47","TUBB6","RFC4","PODN","SSBP2","BNC1","RPS6KA1","PDE3A","BICC1","HCST","NDUFA4L2","NDUFA3","FGL2","AKR1C3","FGF2","BAG3","PGM5","EVL"
"173","HBA1","SNORA60","KDELR3","ANPEP","ARHGDIB","ALOX5AP","EMP1","SPN","CREB3L1","RPS4Y1","MT1X","LILRA2","LAMB1","FAM129B","TNFRSF1B","ERRFI1","FXYD7","MX2","TRAF3IP3","CNIH3","BEST3","TXNDC5","SELPLG"
"174","CALD1","FCGR2B","SDC4","ETV3","NME2","MFNG","F11R","TEX30","TIMP3","SNRPD1","ELMO3","CXCL16","SLC7A5P1","MYOF","CORO1A","NQO1","KIF21A","DENND3","LSP1","HIST1H3F","ATOH8","NQO1","PLCG1"
"175","GSN","IKZF1","IGFBP6","RASSF2","CCL2","HCLS1","S100A2","C6ORF211","ITGB5","CCDC101","PLS3","NR1H3","NME2","TUBB6","CTSH","LOXL3","SCN1A","TLR4","HMHA1","TMEM119","DMD","RBFOX2","S1PR1"
"176","CYR61","LCP1","COL14A1","SLA","TNFRSF10C","HLA-DQB1","S100A9","GMFG","TNC","RGL4","GPR87","PLBD1","LMNA","ID1","SEP15","LTBP2","SNX10","ITGAM","RGS1","HEG1","TMEM38A","IGFBP3","ARHGDIB"
"177","MT1E","SNORA66","AMOTL2","SNORA9","KANK3","DEF6","TNC","RQCD1","CERCAM","RPS6","COL12A1","CCRL2","PRKCDBP","GAS6","TGFBI","LAMB1","ID2","TBXAS1","CD96","ITGA2","HIST2H2AA3","YAP1","RCAN3"
"178","HBB","DOCK2","UGDH","NRD1","ID3","KDM6B","FHL2","TUBB1","TNFRSF11B","TXN2","HEPHL1","HNMT","CCNB1","SPNS2","BIN2","TNNT1","GDPD1","ARHGAP15","IKZF1","HIST1H3D","RORA","SPARC","TNFAIP3"
"179","PODN","ACSS1","LSP1","CCL3","FABP5","CORO7","MAP1B","LSM5","GPNMB","MSRB3","GALNT3","TBXAS1","IFIT2","RPS16","SRGN","DDAH1","PIGP","ATG16L2","NCR3","CRIM1","NEXN","GALNT5","GPRASP1"
"180","LAMC1","SUSD3","RAB23","TLR8","MGAT4A","SNORA80B","HIST1H2BO","CKAP2L","ACVRL1","SLC40A1","XDH","SEPP1","LGALS3","HIST1H2BO","PTPN6","GPR176","LARGE","CR1","NCAM1","PKIB","HSPB1","VASN","HCST"
"181","FCGR2A","C11ORF80","KANK2","AHR","GIMAP5","NBEAL2","FAM83H","TMEM97","FBLIM1","UTP11L","KLC3","VAMP8","MYO1B","PLXNB2","HBEGF","SFTA1P","CLU","SNORA13","ADAM8","RASGRF2","COL6A3","SCD","APBB1"
"182","CD74","CYTH4","CREB5","APOE","UCHL1","NHSL2","IGFBP7","BUB1","TUBB6","GPSM3","C1ORF116","PLCB2","CNN3","CHRDL1","LRRC25","CASQ2","TMEM14A","C16ORF54","IL10RA","IL1A","GATSL2","TUSC3","RPS4Y1"
"183","ALDH1L1","CTSH","FSCN1","TNFAIP3","SERPINB9","GFI1B","MACC1","ERMAP","EFEMP2","GTSF1","SLC2A9","PECAM1","EGFL8","AMOTL2","DOCK2","MYOG","GPR63","ARRB2","IL2RG","CHN1","GADD45G","TMEM98","SNORA14A"
"184","FCGR2C","BTG2","NREP","SNORA71C","LOXL2","MPO","TUSC3","CD74","PLOD2","SRGN","CDC20","C1ORF162","CALD1","CNN3","SNORA2A","ASS1","CISD1","HAL","TIGIT","NME2","PPM1L","HIST1H3E","EVI2A"
"185","EDNRB","ALOX5","VASN","TRIP10","IGFBP2","FAM102A","GNG12","PRPF38A","ADAM33","SMEK2","TNNT1","PPAP2B","RTP4","CELSR1","HLA-DPB1","MMP14","GABARAPL2","LRMP","MYO1G","PLS3","C1ORF198","TUBB6","APBA2"
"186","GABRE","FAM65B","CPXM2","SPI1","EPAS1","CD300A","PRKCDBP","KIF2C","TNXB","ATP5G2","CDH13","SNORA21","DCBLD2","GRB14","SNORD17","CRIM1","AKAP6","SNORA28","RASGRP2","GFPT2","FITM1","TMEM119","DOCK2"
"187","AEBP1","CLEC17A","MALL","ARHGAP25","NRP2","TMC6","EPHB2","NCAPH","SCARNA2","APEX1","HIST2H3C","TLR4","DPP4","BCAR1","LAT2","NEB","MAP6","SNORA65","LAPTM5","CHPF","GAMT","FKBP9","EPHX2"
"188","NDRG2","RLTPR","CNN3","SNORA10","NRP1","FAM65B","SCD","VAMP8","DKK1","C10ORF32","SERPINE2","SLC26A11","RAB17","MMP24","CSF1R","RAI14","MAP9","ANXA3","SPOCK2","GATA4","CLTCL1","GNG12","PRKCQ"
"189","CAV2","MEF2C","EPAS1","SLC41A2","TSPAN15","CD74","PYCR1","RAD51AP1","CYR61","ZNF521","HIST2H3A","CTSB","CHPF","CDC42EP1","ZFP36","LTBP1","CACNB2","LAT2","SYTL1","CTGF","ABRA","KDELR3","IL2RG"
"190","PRG4","CD48","LHFPL2","BCL2L14","FRMD6","CRIP1","RBM47","CCDC28B","SORBS3","SH3BGRL3","HAS3","AGPAT6","STK32A","HIST1H3B","MXD1","VCAN","SEPT4","FGD3","EOMES","SPARC","JPH1","LDB2","CCDC141"
"191","SCARNA2","IKZF3","ARID5B","C2","COL18A1","MEGF6","ZNF185","AURKA","FADS2","MCTP1","RPS4Y1","CEBPA","THBS2","FBN1","HLA-F","NCAM1","BEX5","CD300A","PRR5L","EPHB2","A2M","FADS2","SAMD3"
"192","DGAT2","ST14","AEBP1","TGM2","TUBB6","SYNE1","EGFR","C20ORF196","CTTN","ATP6V1G2-DDX39B","STON2","CYP1B1","UCHL1","LAMB2","SNORA74A","SYTL2","GARNL3","SCARNA23","SORL1","VEGFA","TPM1","DKK1","IPCEF1"
"193","MT1A","TAGAP","MYBL1","PRKRIR","LAMC1","SCARNA22","ESRP2","C14ORF1","WISP2","CD82","TUBB6","RASGEF1B","ITPKB","HIST2H3D","MAP3K8","MYOF","CHRDL1","SCARNA15","HCLS1","RCN3","TACC2","ANK2","CD37"
"194","SEMA3G","ITGB2","EBF1","CISH","PLOD2","XKR8","FABP5","SELPLG","FST","HHEX","HIST1H3B","IL10RA","HIST1H2BE","DNM1","SELK","ADAMTS1","COX7B","SNORA14B","RARRES3","HIST1H4F","POPDC3","CTTN","KCNA3"
"195","SCD","ADAM19","IL1R1","CTSH","SPARC","HLA-DRA","ITGB5","ITLN1","LMCD1","SELPLG","GAS6","SYK","HMG20B","EHD2","CD33","TTN","GLRB","CXCL1","NCALD","E2F7","ANKRD9","CTGF","ARL4C"
"196","LGALS12","CCDC88C","GLDN","FABP5","HIST1H2AI","IKZF1","PLEKHG3","TBPL1","RBFOX2","C11ORF74","COL4A2","C3AR1","MMP2","PLEKHG3","CD163","NAV3","CALM2","SIGLEC5","ACAP1","TNFRSF12A","SYPL2","CTSK","FGD3"
"197","FERMT2","MYO1G","PRR11","ENPP2","PLXND1","RGS14","TSPAN1","NUF2","SFRP1","MEF2C","RPS6KA1","LHFPL2","TFAP2A","LGALS3BP","CD4","CHPF","NDUFA4","SRGN","SYTL2","C1QTNF1","ATP1B1","PTK7","LBH"
"198","NME2","RNU4ATAC","PDPN","ID2","MYH10","RAB11FIP4","DBN1","TROAP","BMPER","RPS14","CA2","EGR2","COL5A2","CRIM1","S100A4","LIF","GABBR1","AFF2","KLRC2","INHBA","PACSIN3","RAI14","SCARNA10"
"199","MME","DEF6","LBH","PCNX","MTUS1","ARHGAP25","FAM83B","HIAT1","ANTXR1","ERBB2IP","FOSL1","IQGAP2","TNFRSF14","LFNG","C9ORF89","TMEM98","TSPAN13","DOK3","SLFN12L","NKD2","VWF","CPXM2","TNFSF8"
"200","EPB41L3","TRAF3IP3","SDC2","F13A1","EHD2","TMEM71","AXL","GRAP2","DDAH1","CLEC2B","MPZL2","TGFBI","RPL36A-HNRNPH2","NT5DC2","SLC15A3","AMOTL2","SLC25A4","NRD1","LAT2","NR2F1","STON2","PRKCDBP","LINS"
